Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Mathematics for Computer Graphics,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6290-2,John Vince,2014,http://link.springer.com/book/10.1007/978-1-4471-6290-2,Book
Communications and Networking,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-4357-4,John Cowley,2013,http://link.springer.com/book/10.1007/978-1-4471-4357-4,Book
Python Programming Fundamentals,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84996-537-8,Kent D. Lee,2011,http://link.springer.com/book/10.1007/978-1-84996-537-8,Book
"Sets, Logic and Maths for Computing",Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-2500-6,David Makinson,2012,http://link.springer.com/book/10.1007/978-1-4471-2500-6,Book
Data Structures and Algorithms with Python,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-13072-9,Kent D. LeeSteve Hubbard,2015,http://link.springer.com/book/10.1007/978-3-319-13072-9,Book
Principles of Digital Image Processing,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-195-4,Wilhelm BurgerMark James Burge,2009,http://link.springer.com/book/10.1007/978-1-84800-195-4,Book
Embedded Operating Systems,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6603-0,Alan HoltChi-Yu Huang,2014,http://link.springer.com/book/10.1007/978-1-4471-6603-0,Book
Introduction to Artificial Intelligence,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-299-5,Wolfgang Ertel,2011,http://link.springer.com/book/10.1007/978-0-85729-299-5,Book
Principles of Data Mining,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-4884-5,Max Bramer,2013,http://link.springer.com/book/10.1007/978-1-4471-4884-5,Book
Multicore Programming Using the ParC Language,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-2164-0,Yosi Ben-Asher,2012,http://link.springer.com/book/10.1007/978-1-4471-2164-0,Book
Concise Computer Vision,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6320-6,Reinhard Klette,2014,http://link.springer.com/book/10.1007/978-1-4471-6320-6,Book
A Concise Introduction to Languages and Machines,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-121-3,Alan P. Parkes,2008,http://link.springer.com/book/10.1007/978-1-84800-121-3,Book
Pattern Recognition,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-495-1,Prof. M. Narasimha MurtyDr. V. Susheela Devi,2011,http://link.springer.com/book/10.1007/978-0-85729-495-1,Book
Mathematics for Computer Graphics,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84996-023-6,"Prof. John Vince MTech, PhD, DSc, CEng, FBCS",2010,http://link.springer.com/book/10.1007/978-1-84996-023-6,Book
"Sets, Logic and Maths for Computing",Undergraduate Topics in Computer Science,,,,10.1007/978-1-84628-845-6,David Makinson,2008,http://link.springer.com/book/10.1007/978-1-84628-845-6,Book
A Concise and Practical Introduction to Programming Algorithms in Java,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84882-339-6,Frank Nielsen,2009,http://link.springer.com/book/10.1007/978-1-84882-339-6,Book
Introduction to Software Process Improvement,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-172-1,Gerard O'Regan,2011,http://link.springer.com/book/10.1007/978-0-85729-172-1,Book
Introduction to Computer Graphics,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-2733-8,Frank Klawonn,2012,http://link.springer.com/book/10.1007/978-1-4471-2733-8,Book
Proofs and Algorithms,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-121-9,Gilles Dowek,2011,http://link.springer.com/book/10.1007/978-0-85729-121-9,Book
Elements of Computer Security,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-006-9,David Salomon,2010,http://link.springer.com/book/10.1007/978-0-85729-006-9,Book
Foundations of Programming Languages,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-13314-0,Kent D. Lee,2014,http://link.springer.com/book/10.1007/978-3-319-13314-0,Book
Introduction to the History of Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-33138-6,Gerard O'Regan,2016,http://link.springer.com/book/10.1007/978-3-319-33138-6,Book
Introduction to Compiler Design,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-829-4,Torben Ægidius Mogensen,2011,http://link.springer.com/book/10.1007/978-0-85729-829-4,Book
Programming Language Concepts,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-4156-3,Peter Sestoft,2012,http://link.springer.com/book/10.1007/978-1-4471-4156-3,Book
Agile Software Engineering,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-198-5,Orit HazzanYael Dubinsky,2008,http://link.springer.com/book/10.1007/978-1-84800-198-5,Book
Python Programming Fundamentals,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6642-9,Kent D. Lee,2014,http://link.springer.com/book/10.1007/978-1-4471-6642-9,Book
Rigorous Software Development,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-018-2,José Bacelar AlmeidaMaria João FradeJorge Sousa PintoSimão Melo de Sousa,2011,http://link.springer.com/book/10.1007/978-0-85729-018-2,Book
Sensing and Systems in Pervasive Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-841-6,Dan Chalmers,2011,http://link.springer.com/book/10.1007/978-0-85729-841-6,Book
Limits of Computation,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-27889-6,Bernhard Reus,2016,http://link.springer.com/book/10.1007/978-3-319-27889-6,Book
Ethics in Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-29106-2,Joseph Migga Kizza,2016,http://link.springer.com/book/10.1007/978-3-319-29106-2,Book
What Is Computer Science,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-04042-4,Daniel PageNigel Smart,2014,http://link.springer.com/book/10.1007/978-3-319-04042-4,Book
Practical Analysis of Algorithms,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-09888-3,Dana VrajitoruWilliam Knight,2014,http://link.springer.com/book/10.1007/978-3-319-09888-3,Book
Analysis for Computer Scientists,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-446-3,Michael OberguggenbergerAlexander Ostermann,2011,http://link.springer.com/book/10.1007/978-0-85729-446-3,Book
UML @ Classroom,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-12742-2,Martina SeidlMarion ScholzChristian HuemerGerti Kappel,2015,http://link.springer.com/book/10.1007/978-3-319-12742-2,Book
A Concise Introduction to Software Engineering,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-302-6,Pankaj Jalote,2008,http://link.springer.com/book/10.1007/978-1-84800-302-6,Book
Fundamentals of Discrete Math for Computer Science,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-4069-6,Tom JenkynsBen Stephenson,2013,http://link.springer.com/book/10.1007/978-1-4471-4069-6,Book
Introduction to HPC with MPI for Data Science,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-21903-5,Frank Nielsen,2016,http://link.springer.com/book/10.1007/978-3-319-21903-5,Book
Principles of Programming Languages,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84882-032-6,Gilles Dowek,2009,http://link.springer.com/book/10.1007/978-1-84882-032-6,Book
Guide to Java,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6317-6,James T. StreibTakako Soma,2014,http://link.springer.com/book/10.1007/978-1-4471-6317-6,Book
Introduction to Video and Image Processing,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-2503-7,Thomas B. Moeslund,2012,http://link.springer.com/book/10.1007/978-1-4471-2503-7,Book
Introduction to Software Quality,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-06106-1,Gerard O’Regan,2014,http://link.springer.com/book/10.1007/978-3-319-06106-1,Book
Principles of Digital Image Processing,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84882-919-0,Wilhelm BurgerMark J. Burge,2013,http://link.springer.com/book/10.1007/978-1-84882-919-0,Book
Programming Languages and Operational Semantics,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6368-8,Maribel Fernández,2014,http://link.springer.com/book/10.1007/978-1-4471-6368-8,Book
Programming Languages: Principles and Paradigms,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84882-914-5,Maurizio GabbrielliSimone Martini,2010,http://link.springer.com/book/10.1007/978-1-84882-914-5,Book
Introduction to the Theory of Programming Languages,Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-076-2,Gilles DowekJean-Jacques Lévy,2011,http://link.springer.com/book/10.1007/978-0-85729-076-2,Book
Principles of Digital Image Processing,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-191-6,Wilhelm BurgerMark James Burge,2009,http://link.springer.com/book/10.1007/978-1-84800-191-6,Book
"Core Concepts in Data Analysis: Summarization, Correlation and Visualization",Undergraduate Topics in Computer Science,,,,10.1007/978-0-85729-287-2,Boris Mirkin,2011,http://link.springer.com/book/10.1007/978-0-85729-287-2,Book
Modelling Computing Systems,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-322-4,Faron MollerGeorg Struth,2013,http://link.springer.com/book/10.1007/978-1-84800-322-4,Book
Autonomic Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-5007-7,Philippe LalandaJulie A. McCannAda Diaconescu,2013,http://link.springer.com/book/10.1007/978-1-4471-5007-7,Book
Guide to Teaching Puzzle-based Learning,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6476-0,Edwin F. Meyer IIINickolas FalknerRaja SooriamurthiZbigniew Michalewicz,2014,http://link.springer.com/book/10.1007/978-1-4471-6476-0,Book
Guide to Scientific Computing in C++,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-2736-9,Joe Pitt-FrancisJonathan Whiteley,2012,http://link.springer.com/book/10.1007/978-1-4471-2736-9,Book
Concise Guide to Databases,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-5601-7,Peter LakePaul Crowther,2013,http://link.springer.com/book/10.1007/978-1-4471-5601-7,Book
Guide to Assembly Language,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-35639-2,Prof. James T. Streib,2020,http://link.springer.com/book/10.1007/978-3-030-35639-2,Book
Introduction to Parallel Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-98833-7,Dr. Roman TrobecProf. Boštjan SlivnikProf. Patricio BulićProf. Borut Robič,2018,http://link.springer.com/book/10.1007/978-3-319-98833-7,Book
Introduction to Data Science,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-50017-1,Laura IgualSanti Seguí,2017,http://link.springer.com/book/10.1007/978-3-319-50017-1,Book
Foundations of Programming Languages,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-70790-7,Prof. Kent D. Lee,2017,http://link.springer.com/book/10.1007/978-3-319-70790-7,Book
Data Structures and Algorithms with Scala,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-12561-5,Bhim P. Upadhyaya,2019,http://link.springer.com/book/10.1007/978-3-030-12561-5,Book
Mathematics for Computer Graphics,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-7336-6,Prof. John Vince,2017,http://link.springer.com/book/10.1007/978-1-4471-7336-6,Book
Introduction to Artificial Intelligence,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-58487-4,Prof. Dr. Wolfgang Ertel,2017,http://link.springer.com/book/10.1007/978-3-319-58487-4,Book
Ethical and Secure Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-03937-0,Prof. Joseph Migga Kizza,2019,http://link.springer.com/book/10.1007/978-3-030-03937-0,Book
Guide to Data Structures,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-70085-4,James T. StreibTakako Soma,2017,http://link.springer.com/book/10.1007/978-3-319-70085-4,Book
Concise Guide to Software Testing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-28494-7,Dr. Gerard O'Regan,2019,http://link.springer.com/book/10.1007/978-3-030-28494-7,Book
Software Quality Assurance,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-64822-4,Dr. Neil Walkinshaw,2017,http://link.springer.com/book/10.1007/978-3-319-64822-4,Book
Concise Guide to Formal Methods,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-64021-1,Prof. Dr. Gerard O'Regan,2017,http://link.springer.com/book/10.1007/978-3-319-64021-1,Book
Principles of Data Mining,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-7307-6,Max Bramer,2016,http://link.springer.com/book/10.1007/978-1-4471-7307-6,Book
Advanced Guide to Python 3 Programming,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-25943-3,Dr. John Hunt,2019,http://link.springer.com/book/10.1007/978-3-030-25943-3,Book
Embedded Operating Systems,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-72977-0,Dr. Alan HoltDr. Chi-Yu Huang,2018,http://link.springer.com/book/10.1007/978-3-319-72977-0,Book
A Practical Approach to Compiler Construction,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-52789-5,Des Watson,2017,http://link.springer.com/book/10.1007/978-3-319-52789-5,Book
Programming Language Concepts,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-60789-4,Prof. Peter Sestoft,2017,http://link.springer.com/book/10.1007/978-3-319-60789-4,Book
Guide to Competitive Programming,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-72547-5,Antti Laaksonen,2017,http://link.springer.com/book/10.1007/978-3-319-72547-5,Book
Introduction to Compiler Design,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-66966-3,Torben Ægidius Mogensen,2017,http://link.springer.com/book/10.1007/978-3-319-66966-3,Book
Mathematics in Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-34209-8,Dr. Gerard O’Regan,2020,http://link.springer.com/book/10.1007/978-3-030-34209-8,Book
Pervasive Computing,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-51655-4,Natalia Silvis-Cividjian,2017,http://link.springer.com/book/10.1007/978-3-319-51655-4,Book
Programming with Scala,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-69368-2,Prof. Dr. Bhim P. Upadhyaya,2017,http://link.springer.com/book/10.1007/978-3-319-69368-2,Book
Guide to Scientific Computing in C++,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-73132-2,Dr. Joe Pitt-FrancisProf. Jonathan Whiteley,2017,http://link.springer.com/book/10.1007/978-3-319-73132-2,Book
A Beginners Guide to Python 3 Programming,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-20290-3,Dr. John Hunt,2019,http://link.springer.com/book/10.1007/978-3-030-20290-3,Book
Introduction to Medical Image Analysis,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-39364-9,Assoc. Prof. Rasmus R. PaulsenProf. Thomas B. Moeslund,2020,http://link.springer.com/book/10.1007/978-3-030-39364-9,Book
Concise Guide to Object-Oriented Programming,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-13304-7,Dr. Kingsley Sage,2019,http://link.springer.com/book/10.1007/978-3-030-13304-7,Book
Applied Logic for Computer Scientists,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-51653-0,Mauricio Ayala-RincónFlávio L. C. de Moura,2017,http://link.springer.com/book/10.1007/978-3-319-51653-0,Book
Introduction to Deep Learning,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-73004-2,Dr. Sandro Skansi,2018,http://link.springer.com/book/10.1007/978-3-319-73004-2,Book
Concise Guide to Software Engineering,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-57750-0,Gerard O'Regan,2017,http://link.springer.com/book/10.1007/978-3-319-57750-0,Book
Programming in HTML and PHP,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-56973-4,Dr. David R. Brooks,2017,http://link.springer.com/book/10.1007/978-3-319-56973-4,Book
Designing Reliable Distributed Systems,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-6687-0,Peter Csaba Ölveczky,2017,http://link.springer.com/book/10.1007/978-1-4471-6687-0,Book
Analysis for Computer Scientists,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-91155-7,Univ.-Prof. Dr. Dr. Michael OberguggenbergerUniv.-Prof. Dr. Alexander Ostermann,2018,http://link.springer.com/book/10.1007/978-3-319-91155-7,Book
Principles of Data Mining,Undergraduate Topics in Computer Science,,,,10.1007/978-1-4471-7493-6,Prof. Max Bramer,2020,http://link.springer.com/book/10.1007/978-1-4471-7493-6,Book
Fundamentals of Discrete Math for Computer Science,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-70151-6,Prof. Tom JenkynsDr. Ben Stephenson,2018,http://link.springer.com/book/10.1007/978-3-319-70151-6,Book
Basic Graph Theory,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-49475-3,Md. Saidur Rahman,2017,http://link.springer.com/book/10.1007/978-3-319-49475-3,Book
Software Architecture in Action,Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-44339-3,Flavio OquendoJair LeiteThaís Batista,2016,http://link.springer.com/book/10.1007/978-3-319-44339-3,Book
Guide to Competitive Programming,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-39357-1,Dr. Antti Laaksonen,2020,http://link.springer.com/book/10.1007/978-3-030-39357-1,Book
"Object-Oriented Analysis, Design and Implementation",Undergraduate Topics in Computer Science,,,,10.1007/978-3-319-24280-4,Brahma DathanSarnath Ramnath,2015,http://link.springer.com/book/10.1007/978-3-319-24280-4,Book
"Core Data Analysis: Summarization, Correlation, and Visualization",Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-00271-8,Prof. Boris Mirkin,2019,http://link.springer.com/book/10.1007/978-3-030-00271-8,Book
Financial Software Engineering,Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-14050-2,Dr. Kevin LanoDr. Howard Haughton,2019,http://link.springer.com/book/10.1007/978-3-030-14050-2,Book
"Sets, Logic and Maths for Computing",Undergraduate Topics in Computer Science,,,,10.1007/978-3-030-42218-9,Prof. David Makinson,2020,http://link.springer.com/book/10.1007/978-3-030-42218-9,Book
Models of Computation,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84882-434-8,Dr Maribel Fernández,2009,http://link.springer.com/book/10.1007/978-1-84882-434-8,Book
Semantics with Applications: An Appetizer,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84628-692-6,"Hanne Riis Nielson PhDFlemming Nielson PhD, DSc",2007,http://link.springer.com/book/10.1007/978-1-84628-692-6,Book
A Concise Introduction to Data Compression,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84800-072-8,David Salomon,2008,http://link.springer.com/book/10.1007/978-1-84800-072-8,Book
Object-Oriented Analysis and Design,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84996-522-4,Sarnath RamnathBrahma Dathan,2011,http://link.springer.com/book/10.1007/978-1-84996-522-4,Book
Introduction to Computer Graphics,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84628-848-7,"Frank Klawonn MSc,PhD",2008,http://link.springer.com/book/10.1007/978-1-84628-848-7,Book
Object-Oriented Programming Languages: Interpretation,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84628-774-9,"Iain D. Craig MA, PhD",2007,http://link.springer.com/book/10.1007/978-1-84628-774-9,Book
Practical Distributed Processing,Undergraduate Topics in Computer Science,,,,10.1007/978-1-84628-841-8,"Phillip J. Brooke MA, DPhil, MBCS CITPRichard F. Paige BSc, MSc, PhD",2008,http://link.springer.com/book/10.1007/978-1-84628-841-8,Book
Introduction to Operating System Design and Implementation,Undergraduate Topics in Computer Science,,,,10.1007/1-84628-843-6,Michael KiferScott A. Smolka,2007,http://link.springer.com/book/10.1007/1-84628-843-6,Book
